# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
28.000000 1.000000 1775059.262396 5344744.454214 -7236.843970
28.000000 2.000000 1767743.243128 5351082.248683 -9667.383237
28.000000 3.000000 1760384.044906 5357457.448650 -11921.147531
28.000000 4.000000 1753011.558383 5363844.160139 -14054.522504
28.000000 5.000000 1745627.964045 5370240.494217 -16173.806766
28.000000 6.000000 1738250.888908 5376631.180776 -18302.565179
28.000000 7.000000 1730893.667627 5383004.668138 -20568.094687
28.000000 8.000000 1723570.270080 5389348.854338 -23032.343179
28.000000 9.000000 1716285.151934 5395659.879473 -25669.045643
28.000000 10.000000 1709077.397459 5401903.885233 -28675.753727
28.000000 11.000000 1701963.462870 5408066.615762 -32040.554029
28.000000 12.000000 1694929.951078 5414159.676825 -35681.259033
28.000000 13.000000 1688051.361588 5420118.530244 -39823.291558
28.000000 14.000000 1681263.160206 5425999.081347 -44202.712198
28.000000 15.000000 1674678.521259 5431703.288344 -49088.402994
29.000000 0.000000 1791510.976590 5343722.987434 -4238.049410
29.000000 1.000000 1784267.274936 5349998.133876 -7030.773622
29.000000 2.000000 1776982.248202 5356309.079822 -9513.739419
29.000000 3.000000 1769634.365571 5362674.477206 -11797.709583
29.000000 4.000000 1762253.281499 5369068.636665 -13906.006974
29.000000 5.000000 1754862.933091 5375470.821727 -15934.180766
29.000000 6.000000 1747469.861078 5381875.366220 -17992.140109
29.000000 7.000000 1740090.484175 5388268.046776 -20126.753962
29.000000 8.000000 1732737.777842 5394637.622884 -22432.926054
29.000000 9.000000 1725421.257010 5400975.851854 -24915.136797
29.000000 10.000000 1718172.327049 5407255.527526 -27739.217586
29.000000 11.000000 1710997.578994 5413470.940154 -30877.859571
29.000000 12.000000 1703924.038491 5419598.677689 -34386.059946
29.000000 13.000000 1696955.208931 5425635.705180 -38241.919309
29.000000 14.000000 1690119.605514 5431557.320192 -42488.913848
29.000000 15.000000 1683419.691662 5437361.388690 -47093.133262
30.000000 0.000000 1800636.955839 5349047.731717 -4483.971495
30.000000 1.000000 1793405.289609 5355312.451992 -7249.298370
30.000000 2.000000 1786103.550727 5361637.875505 -9678.591038
30.000000 3.000000 1778762.231497 5367997.587079 -11911.148120
30.000000 4.000000 1771385.662258 5374387.835384 -13978.157815
30.000000 5.000000 1763985.636165 5380798.404127 -15950.962278
30.000000 6.000000 1756572.213142 5387220.578498 -17869.224508
30.000000 7.000000 1749161.125277 5393640.729944 -19818.667002
30.000000 8.000000 1741771.154617 5400042.587766 -21909.614769
30.000000 9.000000 1734419.433138 5406411.310704 -24220.256806
30.000000 10.000000 1727118.534515 5412736.006311 -26799.977394
30.000000 11.000000 1719896.527331 5418992.359050 -29747.514023
30.000000 12.000000 1712758.584819 5425175.887403 -33019.179958
30.000000 13.000000 1705733.671157 5431261.499991 -36680.090473
30.000000 14.000000 1698842.356832 5437231.376808 -40785.203477
